ratunek	en:resource	A special thanks to Dom for being a resource in regards to weaponry and guns. 
maszynowy	en:machined	The revolver was nothing fancy to look at, though the six-shot cylinder was machined with such care in the steel-alloy frame that there was no play in its movement. 
uzbrojenie	en:weaponry	A special thanks to Dom for being a resource in regards to weaponry and guns. 
unosił się	en:hovered	Blue lines hovered in his vision, extending from his chest to point at nearby sources of metal, a result of his Allomancy. 
obudowy	en:casings	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
strzały	en:shots	But shots would go wild, not striking where they were aimed. 
wystrzępienie	en:fraying	The waist-high fence was flimsy, the wood grayed with time, held together with fraying lengths of rope. 
zewnętrzny	en:outward	Steel continued to burn comfortably in his stomach, and so—as a precaution—he gently Pushed outward from himself in all directions. 
pozdrowienia	en:regards	A special thanks to Dom for being a resource in regards to weaponry and guns. 
wiązany	en:knotted	Wax peeked up over the knotted boards, scanning the empty town. 
książka w broszurowej oprawie	en:paperback	Note the lovely cover by Chris McGrath, whom I asked for specifically because of his work on the Mistborn paperback covers. 
celowane	en:aimed	But shots would go wild, not striking where they were aimed. 
wspaniale	en:wonderful	He has been a wonderful resource and a good friend. 
kucanie	en:crouch	Copyright   PROLOGUE Wax crept along the ragged fence in a crouch, his boots scraping the dry ground. 
Straking	en:streaking	Any metal that came streaking in his direction would be thrown slightly off course. 
uderzający	en:striking	But shots would go wild, not striking where they were aimed. 
skrawka	en:crept	ks by Brandon Sanderson Copyright   PROLOGUE Wax crept along the ragged fence in a crouch, his boots scraping the dry ground. 
obdarty	en:ragged	nderson Copyright   PROLOGUE Wax crept along the ragged fence in a crouch, his boots scraping the dry ground. 
rozbity	en:pitched	ACKNOWLEDGMENTS I first pitched the idea of later-era Mistborn novels to my editor back in 2006, I believe. 
beczka	en:barrel	He held his Sterrion 36 up by his head, the long, silvery barrel dusted with red clay. 
odchylenie	en:deviation	It’s a side deviation, something exciting that grew quite unexpectedly out of my planning for where the world would go. 
zawiązany	en:tied	The plan then was for a second epic trilogy set in an urban era, and a third trilogy set in a futuristic era—with Allomancy, Feruchemy, and Hemalurgy being the common threads that tied them together. 
glina	en:clay	He held his Sterrion 36 up by his head, the long, silvery barrel dusted with red clay. 
chwyt	en:grip	There was no gleam to the metal or exotic material on the grip. 
zerknął	en:peeked	Wax peeked up over the knotted boards, scanning the empty town. 
powłoka	en:shell	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
Ułoczone	en:piled	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
słaby	en:flimsy	The waist-high fence was flimsy, the wood grayed with time, held together with fraying lengths of rope. 
tablice	en:boards	Wax peeked up over the knotted boards, scanning the empty town. 
blask	en:gleam	There was no gleam to the metal or exotic material on the grip. 
wyszarzony	en:grayed	The waist-high fence was flimsy, the wood grayed with time, held together with fraying lengths of rope. 
podziękowanie	en:ACKNOWLEDGMENTS	ACKNOWLEDGMENTS I first pitched the idea of later-era Mistborn novels to my editor back in 2006, I believe. 
grzechotka	en:rattle	His sudden Push caused the wall to rattle, the old rusty nails straining in their places. 
mdleć	en:faint	It was so faint, he almost missed it. 
Wysyłka	en:shipment	He’d put a price on Bloody Tan’s head for stealing a shipment of his bendalloy. 
fałszować	en:forge	Crouching low, he ran in a squat over to the side of the old blacksmith’s forge. 
widok	en:sighted	Breathing calmly, he raised his Sterrion and sighted on the balcony of the old hotel across the street, where the shot had come from. 
trzaskanie	en:slamming	Wax fired, then Pushed on the bullet, slamming it forward with extra thrust to make it faster and more penetrating. 
mankiet	en:cuff	His clothing was terribly dusty, but well tailored: a fine suit, a silver cravat at the neck, twinkling cuff links on the sleeves of his fine white shirt. 
wepchnięty	en:shoved	His Push shoved him to the side, and he rolled across the ground. 
Skuszony	en:tempted	Wax was half tempted to leave the dead town and let Donal and Tan have at it. 
melonik	en:bowler	Completing the ensemble, he wore a bowler hat on his head to keep off the sun. 
kucać	en:squat	Crouching low, he ran in a squat over to the side of the old blacksmith’s forge. 
knajpa	en:taproom	The taproom was empty, so he took cover beside the doorway, waving toward Lessie. 
ściernisko	en:stubble	The man had been a cruel-faced fellow with several days of stubble on his cheeks; the bullet wound bled out his right side. 
Uśmiechnął się	en:grinned	She just grinned and ducked out from behind the cover, scrambling across the ground toward the smithy. 
pękać	en:crack	He Pushed on a group of nails in the wall beside him just as the crack of a gunshot split the air. 
Skrzypowany	en:ducked	Wax leveled his gun, taking aim as a figure ducked around the side of the building and ran toward him. 
Krgacie	en:sneaking	That done, he continued along the fence—still watching the metal lines to make sure nobody was sneaking up on him. 
upuszczać	en:drop	“Donal’s crew,” Wax said, holding up the drop of glass. 
lekcja	en:Lessie	Lessie asked. 
zestawienie	en:tally	There had been a time when she and Wax had kept a tally of who had saved the other most often. 
Grzepy	en:scowls	“You’ve got more dust on your face than Miles has scowls. 
cel	en:aim	Wax leveled his gun, taking aim as a figure ducked around the side of the building and ran toward him. 
Skrzypowany	en:ducked	He ducked inside, checking the corners for foes. 
prochowiec	en:duster	The woman wore a white duster, reddened at the bottom. 
skinął głową	en:nodded	Wax nodded to her, then dashed across the street toward the hotel. 
załoga	en:crew	“Donal’s crew,” Wax said, holding up the drop of glass. 
skinął głową	en:nodded	Wax nodded. 
przerywany	en:dashed	Wax nodded to her, then dashed across the street toward the hotel. 
przeklęty	en:cursed	He cursed, reflexively Pushing against the nails again, though his instincts told him he’d be too late. 
strzały	en:shots	He watched for more gunmen, but Lessie reached the building without any further shots being fired. 
kokarda	en:bow	“He had a bow,” she said. 
skradać się	en:creep	She was going to go out in that direction and creep along behind the next set of buildings. 
ostrożny	en:Wary	Wary, he too remained still. 
Wspinanie się	en:scrambling	He had cultivated a look that appeared out of place, as if he were planning to attend a fine ball back in Elendel rather than scrambling through a dead town in the Roughs hunting a murderer. 
szlifowanie	en:grinding	He grabbed the top of the fence and hopped over, feet grinding red clay. 
ensemble	en:ensemble	Completing the ensemble, he wore a bowler hat on his head to keep off the sun. 
migotliwy	en:twinkling	His clothing was terribly dusty, but well tailored: a fine suit, a silver cravat at the neck, twinkling cuff links on the sleeves of his fine white shirt. 
chwyciła	en:grabbed	He grabbed the top of the fence and hopped over, feet grinding red clay. 
ukryty	en:implied	Lessie thought it implied more than it did. 
wrogowie	en:foes	He ducked inside, checking the corners for foes. 
skurcz	en:twitch	The thought of it made his eye twitch, though. 
kucanie	en:Crouching	Crouching low, he ran in a squat over to the side of the old blacksmith’s forge. 
migotał	en:flickered	Her eyes flickered downward for a moment. 
lakoniczny	en:curt	Wax nodded, then made a curt gesture. 
złościć	en:riled	No, the only thing that riled Donal was losing money, which was probably why he was here. 
Dostosowane	en:tailored	His clothing was terribly dusty, but well tailored: a fine suit, a silver cravat at the neck, twinkling cuff links on the sleeves of his fine white shirt. 
skinął głową	en:nodded	Wax nodded, then made a curt gesture. 
niezawodny	en:foolproof	It was far from foolproof; he could still get hit. 
pompa	en:pump	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
rozsiany	en:scattered	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
zużyty	en:spent	Nails holding together buildings, spent shell casings lying scattered in the dust, or horseshoes piled at the silent smithy—all were as motionless as the old hand pump planted in the ground to his right. 
zwolniony	en:exempt	Somehow he even managed to exempt the metal he carried, and didn’t Push his own gun from his hands. 
